Tick: 157 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 158 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 159 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 160 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 161 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 162 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 163 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 164 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 165 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 166 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 167 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 168 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 169 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 170 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 171 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 172 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 173 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 174 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 175 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 176 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 177 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 178 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 179 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 180 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 181 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 182 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 183 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 184 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 185 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 186 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 187 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 188 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 189 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
